year,title,avg_vote,movie_rating
2005,The Naked Monster,5.6,good
2005,What Is It?,5.6,good
2005,Fantastic Four,5.7,good
2005,Corpse Bride,7.3,good
2005,Star Wars: Episode III - Revenge of the Sith,7.5,good
2005,Shooting Vegetarians,4.8,good
2005,The Prodigy,5.5,good
2005,Angels with Angles,4.8,good
2005,Firecracker,5.4,good
2005,Bob the Butler,5.5,good
2005,Bad Girls from Valley High,3.5,good
2005,Ripley Under Ground,6.1,good
2005,Lucky 13,4.6,good
2005,Cl.One,3.3,good
2005,Fortunes,4.3,good
2005,Water,7.7,good
2005,Mee-Shee: The Water Giant,5.3,good
2005,In Memory of My Father,6.0,good
2005,Cursed,5.0,good
2005,Imposture,6.4,good
2005,2001 Maniacs,5.3,good
2005,Thru the Moebius Strip,5.1,good
2005,The Ringer,5.8,good
2005,From Venus,4.5,good
2005,Heaven's Neighbors,7.1,good
2005,Havoc,5.5,good
2005,Alchemy,5.4,good
2005,Iluminados por el fuego,6.8,good
2005,Man-Thing,4.0,good
2005,The Keeper: The Legend of Omar Khayyam,6.4,good
2005,Rent,6.9,good
2005,The Sea Wolf,3.6,good
2005,Going Shopping,4.7,good
2005,The Civilization of Maxwell Bright,6.5,good
2005,All Babes Want to Kill Me,4.0,good
2005,Black Wine,4.3,good
2005,Dark Assassin,3.3,good
2005,Love Thy Neighbor,3.6,good
2005,Funny Valentine,4.4,good
2005,Les Boys IV,4.9,good
2005,Extreme Dating,5.2,good
2005,Tracks,5.0,good
2005,The Curse of the Were-Rabbit,7.4,good
2005,Break a Leg,5.1,good
2005,Constellation,3.8,good
2005,Because of Winn-Dixie,6.3,good
2005,A Sound of Thunder,4.2,good
2005,Sahara,6.0,good
2005,Thumbsucker,6.6,good
2005,El viento,6.8,good
2005,Kingdom of Heaven,7.2,good
2005,Blodsbröder,2.8,bad
2005,Ze film,5.4,good
2005,Los suicidas,5.5,good
2005,Sabah,6.8,good
2005,"Jesus, Mary and Joey",4.8,good
2005,Her Name Is Carla,5.0,good
2005,The Great Raid,6.7,good
2005,The Bike Squad,3.1,good
2005,Dirty Love,3.6,good
2005,Lung do kei yuen,4.9,good
2005,My Suicidal Sweetheart,5.5,good
2005,Taj Mahal: An Eternal Love Story,5.2,good
2005,xXx: State of the Union,4.4,good
2005,Harry Potter and the Goblet of Fire,7.7,good
2005,Man of the House,5.4,good
2005,Fever Pitch,6.2,good
2005,Antikörper,7.0,good
2005,Dot.Kill,4.7,good
