year,movie_count,avg_movie_duration,avg_rating,year_rating
1906,1,70.0,6.1,good movie
1911,4,75.25,6.3,good movie
1912,5,76.0,6.02,good movie
1913,13,84.3846,6.58462,good movie
1914,21,75.9524,6.23333,good movie
1915,21,86.7619,6.41905,good movie
1916,33,75.3333,6.38788,good movie
1917,23,68.2174,6.32174,good movie
1918,23,92.7391,6.21739,good movie
1919,47,83.9149,6.43404,good movie
1920,46,80.2174,6.37826,good movie
1921,45,88.2,6.74889,good movie
1922,41,92.5366,6.52683,good movie
1923,35,102.3714,6.8,good movie
1924,48,98.0625,6.86875,good movie
1925,68,86.7794,6.65294,good movie
1926,72,90.4861,6.75833,good movie
1927,75,89.9333,6.64933,good movie
1928,84,89.2143,6.82619,good movie
1929,138,89.7391,6.37101,good movie
1930,168,81.2143,6.14107,good movie
1931,216,81.1065,6.34815,good movie
1932,239,79.0418,6.44184,good movie
1933,251,79.8127,6.47371,good movie
1934,272,79.9669,6.34265,good movie
1935,276,83.2246,6.42899,good movie
1936,280,84.5571,6.38357,good movie
1937,295,86.8136,6.46542,good movie
1938,268,85.9813,6.45634,good movie
1939,292,86.8801,6.55274,good movie
1940,294,89.8163,6.50136,good movie
1941,297,89.3636,6.50774,good movie
1942,291,85.8557,6.41959,good movie
1943,267,89.9251,6.46816,good movie
1944,259,89.6062,6.39344,good movie
1945,242,88.6694,6.5,good movie
1946,268,89.9254,6.54403,good movie
1947,289,92.9654,6.64983,good movie
1948,324,92.966,6.63364,good movie
1949,326,92.4387,6.62699,good movie
1950,332,91.3494,6.59337,good movie
1951,356,91.7331,6.51657,good movie
1952,371,92.6199,6.47493,good movie
1953,396,89.3965,6.38535,good movie
1954,355,94.062,6.39803,good movie
1955,388,95.5129,6.47268,good movie
1956,383,94.4151,6.42037,good movie
1957,425,93.8353,6.37624,good movie
1958,444,94.5495,6.37095,good movie
1959,400,96.5925,6.36575,good movie
1960,404,100.698,6.49183,good movie
1961,418,98.9976,6.34019,good movie
1962,431,101.5128,6.48097,good movie
1963,421,99.8931,6.51188,good movie
1964,465,99.357,6.38022,good movie
1965,469,101.8955,6.38401,good movie
1966,483,99.7081,6.32526,good movie
1967,529,99.518,6.26144,good movie
1968,569,99.7188,6.24675,good movie
1969,557,99.614,6.19785,good movie
1970,597,99.5008,6.15226,good movie
1971,653,99.755,6.11991,good movie
1972,633,98.4692,6.11327,good movie
1973,650,98.6554,6.11723,good movie
1974,605,99.6314,6.12777,good movie
1975,553,102.9186,6.17288,good movie
1976,610,100.0262,6.11049,good movie
1977,597,102.5913,6.15712,good movie
1978,542,102.2011,6.13266,good movie
1979,579,101.7997,6.11641,good movie
1980,580,104.3672,6.11776,good movie
1981,600,103.99,6.2085,good movie
1982,628,102.2054,6.09968,good movie
1983,621,101.3655,6.07585,good movie
1984,634,101.5315,6.05915,good movie
1985,689,101.9884,6.03498,good movie
1986,761,99.3417,5.97622,good movie
1987,822,99.1971,5.87348,good movie
1988,852,101.6526,5.84836,good movie
1989,846,101.8723,5.88038,good movie
1990,762,103.4475,5.9357,good movie
1991,775,103.6761,6.01135,good movie
1992,772,104.6697,6.00233,good movie
1993,818,105.2249,5.9555,good movie
1994,858,104.1235,5.86865,good movie
1995,937,102.5112,5.86553,good movie
1996,969,102.3705,5.84241,good movie
1997,1089,102.7043,5.8551,good movie
1998,1153,102.5655,5.85941,good movie
1999,1354,102.904,5.82947,good movie
2000,1317,102.9787,5.80304,good movie
2001,1429,102.6172,5.83653,good movie
2002,1404,102.8932,5.87756,good movie
2003,1478,104.2821,5.78058,good movie
2004,1662,103.5788,5.82834,good movie
2005,1806,102.6633,5.77337,good movie
2006,2045,102.3188,5.69506,good movie
2007,2075,101.6458,5.73349,good movie
2008,2140,101.8294,5.67696,good movie
2009,2277,100.9513,5.65371,good movie
2010,2253,102.9095,5.65002,good movie
2011,2389,100.9146,5.63784,bad movie
2012,2517,100.2471,5.64478,bad movie
2013,2749,101.4187,5.64136,bad movie
2014,2851,101.6875,5.68702,good movie
2015,2903,101.7888,5.63786,bad movie
2016,3033,102.1273,5.69819,good movie
2017,3106,102.7701,5.75979,good movie
2018,2880,104.6049,5.77167,good movie
2019,1567,107.5341,5.99834,good movie
